n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.315783,0:00:02.314691
auction,1,0:00:02.961807,0:00:02.942496
auction,2,0:00:03.164508,0:00:03.150391
auction,3,0:00:03.614530,0:00:03.601049
auction,4,0:00:03.462320,0:00:03.451210
auction,15,0:00:03.548872,0:00:03.180485
auction,16,0:00:02.886980,0:00:02.884632
auction,17,0:00:02.763917,0:00:02.763101
auction,18,0:00:02.857647,0:00:02.853467
auction,19,0:00:03.053663,0:00:02.700774
auction,30,0:00:03.039259,0:00:03.030760
auction,31,0:00:02.134814,0:00:02.132658
auction,32,0:00:02.855261,0:00:02.850489
auction,33,0:00:03.545684,0:00:03.543444
auction,34,0:00:02.736720,0:00:02.731661
auction,45,0:00:02.403740,0:00:02.402986
auction,46,0:00:03.063493,0:00:03.062799
auction,47,0:00:03.004308,0:00:03.003713
auction,48,0:00:02.884223,0:00:02.880766
auction,49,0:00:03.623515,0:00:03.240572
auction,60,0:00:03.423227,0:00:03.420673
auction,61,0:00:02.435632,0:00:02.432243
auction,62,0:00:03.508868,0:00:03.121325
auction,63,0:00:02.452206,0:00:02.041117
auction,64,0:00:03.284803,0:00:02.910812
auction,75,0:00:03.425680,0:00:03.423018
auction,76,0:00:03.367509,0:00:03.365508
auction,77,0:00:03.514717,0:00:03.512850
auction,78,0:00:03.332192,0:00:03.331524
auction,79,0:00:02.045839,0:00:02.043311
auction,90,0:00:03.306676,0:00:03.303898
auction,91,0:00:02.854055,0:00:02.853065
auction,92,0:00:03.573002,0:00:03.572043
auction,93,0:00:03.132110,0:00:03.129578
auction,94,0:00:03.555835,0:00:03.210426
auction,105,0:00:03.515949,0:00:03.514563
auction,106,0:00:03.275173,0:00:03.273717
auction,107,0:00:02.019994,0:00:02.014608
auction,108,0:00:03.182941,0:00:03.182007
auction,109,0:00:03.458857,0:00:03.455201
auction,120,0:00:03.274715,0:00:03.272145
auction,121,0:00:02.702288,0:00:02.701100
auction,122,0:00:02.761312,0:00:02.400540
auction,123,0:00:02.467621,0:00:02.462071
auction,124,0:00:03.309442,0:00:03.301088
auction,135,0:00:02.673117,0:00:02.671762
auction,136,0:00:02.404970,0:00:02.403324
auction,137,0:00:03.445972,0:00:03.090335
auction,138,0:00:03.429653,0:00:03.425593
auction,139,0:00:03.213540,0:00:03.211840
auction,150,0:00:02.827462,0:00:02.826887
auction,151,0:00:02.676507,0:00:02.675992
auction,152,0:00:02.855497,0:00:02.854189
auction,153,0:00:03.304023,0:00:03.302658
auction,154,0:00:03.423926,0:00:03.422802
auction,165,0:00:03.000273,0:00:02.641242
auction,166,0:00:02.406510,0:00:02.401637
auction,167,0:00:03.054288,0:00:02.701986
auction,168,0:00:02.165053,0:00:02.161576
auction,169,0:00:03.245702,0:00:03.240405
auction,180,0:00:02.736221,0:00:02.735391
auction,181,0:00:03.336712,0:00:03.334558
auction,182,0:00:02.465766,0:00:02.463458
auction,183,0:00:02.285314,0:00:02.283057
auction,184,0:00:03.243998,0:00:03.242767
auction,195,0:00:03.184319,0:00:03.183475
auction,196,0:00:03.243901,0:00:03.241552
auction,197,0:00:02.105937,0:00:02.105180
auction,198,0:00:02.161608,0:00:02.160725
auction,199,0:00:02.884278,0:00:02.882888
auction,210,0:00:03.183158,0:00:03.182241
auction,211,0:00:02.356591,0:00:02.355436
auction,212,0:00:03.452991,0:00:03.451923
auction,213,0:00:03.094933,0:00:02.730666
auction,214,0:00:03.573581,0:00:03.571059
auction,225,0:00:03.189393,0:00:02.790356
auction,226,0:00:02.857985,0:00:02.852115
auction,227,0:00:02.546637,0:00:02.190439
auction,228,0:00:02.587737,0:00:02.584312
auction,229,0:00:03.188425,0:00:03.185701
auction,240,0:00:03.035464,0:00:03.033931
auction,241,0:00:02.795251,0:00:02.793557
auction,242,0:00:03.364326,0:00:03.363261
auction,243,0:00:03.422598,0:00:03.420609
auction,244,0:00:03.340296,0:00:03.336689
auction,255,0:00:02.556235,0:00:02.554008
auction,256,0:00:02.824263,0:00:02.822915
auction,257,0:00:02.467086,0:00:02.465136
auction,258,0:00:02.561089,0:00:02.557115
auction,259,0:00:01.567281,0:00:01.561494
auction,270,0:00:01.592868,0:00:01.591636
