n_type,request_id,completion_time,total_processing_time
auction,0,0:00:03.603122,0:00:03.180679
auction,1,0:00:04.010692,0:00:03.330349
auction,2,0:00:04.697595,0:00:06.600883
auction,3,0:00:03.975104,0:00:03.240326
auction,4,0:00:04.299047,0:00:03.870689
auction,15,0:00:04.055661,0:00:03.331529
auction,16,0:00:02.960062,0:00:02.552666
auction,17,0:00:03.556051,0:00:03.151175
auction,18,0:00:02.552928,0:00:02.551619
auction,19,0:00:03.796503,0:00:03.390632
auction,30,0:00:03.503629,0:00:02.820940
auction,31,0:00:03.454388,0:00:03.060969
auction,32,0:00:04.222330,0:00:03.480641
auction,33,0:00:03.766595,0:00:03.392047
auction,34,0:00:03.723663,0:00:03.000626
auction,45,0:00:03.966415,0:00:02.971112
auction,46,0:00:04.185982,0:00:03.510887
auction,47,0:00:03.600897,0:00:02.910523
auction,48,0:00:02.046023,0:00:02.043808
auction,49,0:00:03.014673,0:00:03.002476
auction,60,0:00:02.666878,0:00:01.980872
auction,61,0:00:02.931665,0:00:02.928029
auction,62,0:00:04.497023,0:00:03.420576
auction,63,0:00:04.117671,0:00:03.360932
auction,64,0:00:04.431014,0:00:04.020507
auction,75,0:00:03.502143,0:00:03.090690
auction,76,0:00:03.131658,0:00:02.700331
auction,77,0:00:03.792437,0:00:03.421000
auction,78,0:00:02.708470,0:00:02.707318
auction,79,0:00:04.134527,0:00:03.390520
auction,90,0:00:03.700647,0:00:03.300929
auction,91,0:00:03.474898,0:00:02.791157
auction,92,0:00:02.702881,0:00:02.700287
auction,93,0:00:03.843076,0:00:03.390460
auction,94,0:00:03.537702,0:00:02.820489
auction,105,0:00:03.302944,0:00:02.910877
auction,106,0:00:03.341737,0:00:02.881110
auction,107,0:00:03.217221,0:00:02.850434
auction,108,0:00:03.575931,0:00:02.880385
auction,109,0:00:03.334149,0:00:02.970561
auction,120,0:00:03.388622,0:00:02.970624
auction,121,0:00:02.700172,0:00:02.370661
auction,122,0:00:03.815856,0:00:03.120765
auction,123,0:00:03.349645,0:00:03.001177
auction,124,0:00:02.854427,0:00:02.430655
auction,135,0:00:02.643662,0:00:02.642532
auction,136,0:00:02.852305,0:00:02.851367
auction,137,0:00:04.421928,0:00:03.690657
auction,138,0:00:03.313574,0:00:02.970845
auction,139,0:00:03.546655,0:00:03.150584
auction,150,0:00:03.613487,0:00:02.940837
auction,151,0:00:03.000860,0:00:02.610490
auction,152,0:00:03.741489,0:00:03.361023
auction,153,0:00:03.402586,0:00:03.001052
auction,154,0:00:03.926256,0:00:03.210769
auction,165,0:00:03.215641,0:00:02.850324
auction,166,0:00:02.773796,0:00:02.772350
auction,167,0:00:03.756047,0:00:03.090688
auction,168,0:00:02.498845,0:00:02.495158
auction,169,0:00:03.825878,0:00:03.151063
auction,180,0:00:02.885400,0:00:02.550469
auction,181,0:00:04.154845,0:00:03.480999
auction,182,0:00:03.416435,0:00:03.030338
auction,183,0:00:04.065497,0:00:03.090818
auction,184,0:00:03.085697,0:00:02.700586
auction,195,0:00:03.628595,0:00:06.542108
auction,196,0:00:04.211724,0:00:03.180951
auction,197,0:00:03.520233,0:00:03.090341
auction,198,0:00:03.174910,0:00:02.522148
auction,199,0:00:03.909958,0:00:03.481288
auction,210,0:00:04.722978,0:00:06.481029
auction,211,0:00:02.945576,0:00:02.941606
auction,212,0:00:04.677907,0:00:10.980828
auction,213,0:00:03.832923,0:00:03.060736
auction,214,0:00:03.715768,0:00:03.300546
auction,225,0:00:03.670534,0:00:03.271254
auction,226,0:00:04.122704,0:00:03.390893
auction,227,0:00:03.255960,0:00:02.250329
auction,228,0:00:02.467765,0:00:02.463211
auction,229,0:00:03.977796,0:00:03.240465
auction,240,0:00:02.619672,0:00:02.618138
auction,241,0:00:02.710503,0:00:02.709341
auction,242,0:00:02.971938,0:00:02.611049
auction,243,0:00:03.732556,0:00:03.030511
auction,244,0:00:02.858115,0:00:02.160405
auction,255,0:00:03.725365,0:00:03.330653
auction,256,0:00:03.777327,0:00:02.761105
auction,257,0:00:03.299849,0:00:02.970576
auction,258,0:00:02.406438,0:00:02.403321
auction,259,0:00:02.616574,0:00:02.612110
auction,270,0:00:03.588979,0:00:05.641465
auction,271,0:00:03.337922,0:00:02.940570
auction,272,0:00:03.104155,0:00:02.041148
auction,273,0:00:04.353963,0:00:06.601172
auction,274,0:00:03.365626,0:00:02.974469
auction,285,0:00:03.699117,0:00:02.970611
auction,286,0:00:02.767701,0:00:02.401807
auction,287,0:00:02.134195,0:00:02.130627
auction,288,0:00:03.301697,0:00:02.940421
auction,289,0:00:03.163019,0:00:02.730673
auction,300,0:00:03.653736,0:00:03.270337
auction,301,0:00:04.023740,0:00:03.600570
auction,302,0:00:02.564790,0:00:02.190877
auction,303,0:00:03.008450,0:00:02.581471
auction,304,0:00:03.654885,0:00:06.421013
auction,315,0:00:03.290133,0:00:02.850921
auction,316,0:00:03.222540,0:00:02.821094
auction,317,0:00:03.265264,0:00:02.880573
auction,318,0:00:03.140998,0:00:02.731109
auction,319,0:00:03.620381,0:00:03.210546
auction,330,0:00:02.762106,0:00:02.761280
auction,331,0:00:02.891317,0:00:02.889575
auction,332,0:00:03.652452,0:00:03.302291
auction,333,0:00:03.615459,0:00:06.241449
auction,334,0:00:03.732897,0:00:03.300637
auction,345,0:00:01.863317,0:00:01.862380
auction,346,0:00:03.308068,0:00:02.940324
auction,347,0:00:03.698046,0:00:03.300297
auction,348,0:00:03.290692,0:00:02.940351
auction,349,0:00:02.765517,0:00:02.370471
auction,360,0:00:03.008899,0:00:03.004515
auction,361,0:00:03.556863,0:00:02.880827
auction,362,0:00:03.008371,0:00:03.004540
auction,363,0:00:03.197898,0:00:02.823179
auction,364,0:00:03.594135,0:00:02.911830
auction,375,0:00:04.119486,0:00:03.390886
auction,376,0:00:04.120099,0:00:03.090274
auction,377,0:00:02.522430,0:00:02.520669
auction,378,0:00:04.705307,0:00:06.721219
auction,379,0:00:03.009639,0:00:02.310368
auction,390,0:00:04.551462,0:00:06.481115
auction,391,0:00:02.502415,0:00:02.130476
auction,392,0:00:03.673902,0:00:03.001122
auction,393,0:00:02.795161,0:00:02.791077
auction,394,0:00:02.954382,0:00:02.581261
auction,405,0:00:03.042896,0:00:02.670298
auction,406,0:00:03.308034,0:00:02.940761
auction,407,0:00:03.742790,0:00:03.360344
auction,408,0:00:04.252598,0:00:03.180573
auction,409,0:00:03.369031,0:00:03.000769
auction,420,0:00:03.060351,0:00:02.700370
auction,421,0:00:03.444465,0:00:02.761401
auction,422,0:00:03.248818,0:00:02.880962
auction,423,0:00:02.584502,0:00:02.583619
auction,424,0:00:02.552566,0:00:02.550959
auction,435,0:00:03.011049,0:00:02.611553
auction,436,0:00:02.673830,0:00:02.250537
auction,437,0:00:04.003968,0:00:03.540513
auction,438,0:00:03.389573,0:00:03.000585
auction,439,0:00:03.297383,0:00:02.911113
auction,450,0:00:02.434197,0:00:02.433466
auction,451,0:00:01.999024,0:00:01.951432
auction,452,0:00:04.300031,0:00:07.681520
auction,453,0:00:03.831377,0:00:03.120840
auction,454,0:00:02.776621,0:00:02.730749
auction,465,0:00:03.357346,0:00:02.670753
auction,466,0:00:02.614876,0:00:02.611930
auction,467,0:00:04.269275,0:00:07.021711
auction,468,0:00:04.093807,0:00:03.660451
auction,469,0:00:03.536654,0:00:03.181503
auction,480,0:00:03.713444,0:00:06.781340
auction,481,0:00:04.587370,0:00:03.840463
auction,482,0:00:03.940997,0:00:03.510515
auction,483,0:00:04.399445,0:00:09.964047
auction,484,0:00:03.539803,0:00:03.090431
auction,495,0:00:02.371801,0:00:02.371009
auction,496,0:00:02.886557,0:00:02.880644
auction,497,0:00:03.922659,0:00:03.540817
auction,498,0:00:04.356271,0:00:03.330681
auction,499,0:00:04.124428,0:00:03.090421
auction,510,0:00:03.828530,0:00:03.121586
