n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.313775,0:00:02.311788
auction,1,0:00:02.943394,0:00:02.940996
auction,2,0:00:03.057960,0:00:02.700943
auction,3,0:00:02.801067,0:00:02.400778
auction,4,0:00:03.896635,0:00:03.450632
auction,15,0:00:03.059203,0:00:02.670787
auction,16,0:00:01.929709,0:00:01.561312
auction,17,0:00:02.135642,0:00:02.134380
auction,18,0:00:02.762909,0:00:02.760819
auction,19,0:00:02.900958,0:00:02.884976
auction,30,0:00:02.822252,0:00:02.821417
auction,31,0:00:02.492723,0:00:02.131009
auction,32,0:00:02.701607,0:00:02.700569
auction,33,0:00:03.818779,0:00:03.120660
auction,34,0:00:02.829477,0:00:02.822843
auction,45,0:00:02.734004,0:00:02.733079
auction,46,0:00:03.006759,0:00:03.004315
auction,47,0:00:01.714905,0:00:01.711418
auction,48,0:00:03.054757,0:00:02.281341
auction,49,0:00:03.676972,0:00:03.240773
auction,60,0:00:02.891733,0:00:02.490317
auction,61,0:00:02.995051,0:00:02.640603
auction,62,0:00:02.625286,0:00:02.221185
auction,63,0:00:02.410318,0:00:02.040946
auction,64,0:00:03.296307,0:00:02.910725
auction,75,0:00:03.593827,0:00:02.880636
auction,76,0:00:02.694099,0:00:02.311667
auction,77,0:00:03.320780,0:00:02.880392
auction,78,0:00:02.618587,0:00:02.614260
auction,79,0:00:03.008181,0:00:03.001174
auction,90,0:00:03.193022,0:00:02.791712
auction,91,0:00:03.496778,0:00:03.151513
auction,92,0:00:03.035204,0:00:02.641621
auction,93,0:00:03.116710,0:00:02.730862
auction,94,0:00:03.004431,0:00:02.640376
auction,105,0:00:02.168656,0:00:02.167268
auction,106,0:00:03.152140,0:00:02.790943
auction,107,0:00:02.319787,0:00:02.315817
auction,108,0:00:02.288092,0:00:02.284894
auction,109,0:00:02.254107,0:00:02.253419
auction,120,0:00:02.371582,0:00:02.370963
auction,121,0:00:01.986910,0:00:01.986427
auction,122,0:00:02.688520,0:00:04.621580
auction,123,0:00:01.778636,0:00:01.777453
auction,124,0:00:02.625648,0:00:02.618707
auction,135,0:00:02.758960,0:00:02.431034
auction,136,0:00:02.379400,0:00:02.377136
auction,137,0:00:02.705768,0:00:02.701432
auction,138,0:00:03.022651,0:00:02.640340
auction,139,0:00:02.643026,0:00:02.640843
auction,150,0:00:03.300928,0:00:02.311220
auction,151,0:00:02.791894,0:00:02.791270
auction,152,0:00:02.582320,0:00:02.580454
auction,153,0:00:02.794271,0:00:02.432907
auction,154,0:00:02.527094,0:00:02.524813
auction,165,0:00:02.356162,0:00:02.010566
auction,166,0:00:03.436792,0:00:03.030860
auction,167,0:00:02.585478,0:00:02.581486
auction,168,0:00:02.762988,0:00:02.400648
auction,169,0:00:02.860951,0:00:02.491830
auction,180,0:00:03.109329,0:00:02.730568
auction,181,0:00:02.922357,0:00:02.550828
auction,182,0:00:03.558795,0:00:02.880341
auction,183,0:00:02.518241,0:00:02.130254
auction,184,0:00:01.745738,0:00:01.743486
auction,195,0:00:02.584348,0:00:02.581849
auction,196,0:00:03.185185,0:00:02.820824
auction,197,0:00:02.582313,0:00:02.580660
auction,198,0:00:02.647175,0:00:02.646167
auction,199,0:00:02.794374,0:00:02.792286
auction,210,0:00:02.644153,0:00:02.221119
auction,211,0:00:02.186026,0:00:01.770994
auction,212,0:00:02.356791,0:00:02.010604
auction,213,0:00:02.584587,0:00:02.581661
auction,214,0:00:02.978042,0:00:02.581572
auction,225,0:00:03.610516,0:00:02.850368
auction,226,0:00:02.943442,0:00:02.942000
auction,227,0:00:02.678518,0:00:02.676107
auction,228,0:00:02.501462,0:00:02.497188
auction,229,0:00:02.470840,0:00:02.464866
auction,240,0:00:01.966644,0:00:01.963739
auction,241,0:00:02.013471,0:00:01.651591
auction,242,0:00:02.441370,0:00:02.435017
auction,243,0:00:03.627582,0:00:03.210652
auction,244,0:00:03.328335,0:00:02.970383
auction,255,0:00:02.487285,0:00:02.101828
auction,256,0:00:02.863605,0:00:02.461178
auction,257,0:00:02.443115,0:00:02.442557
auction,258,0:00:01.956306,0:00:01.560347
auction,259,0:00:02.852272,0:00:02.850499
auction,270,0:00:02.642520,0:00:02.641522
auction,271,0:00:02.768703,0:00:02.430873
auction,272,0:00:02.172331,0:00:02.169388
auction,273,0:00:02.524525,0:00:02.521520
auction,274,0:00:02.996938,0:00:02.611918
auction,285,0:00:03.587523,0:00:02.910994
auction,286,0:00:02.755195,0:00:02.401173
auction,287,0:00:02.481157,0:00:02.070323
auction,288,0:00:02.102341,0:00:02.100695
auction,289,0:00:02.224021,0:00:02.221122
auction,300,0:00:03.353868,0:00:02.970297
auction,301,0:00:02.770225,0:00:02.766233
auction,302,0:00:02.857668,0:00:02.856828
auction,303,0:00:02.475857,0:00:02.101330
auction,304,0:00:02.950105,0:00:02.948026
auction,315,0:00:02.644805,0:00:02.280402
auction,316,0:00:02.969955,0:00:02.611486
auction,317,0:00:02.528653,0:00:02.132473
auction,318,0:00:02.376466,0:00:02.375280
auction,319,0:00:03.009323,0:00:02.641010
auction,330,0:00:03.006948,0:00:03.001565
auction,331,0:00:02.885614,0:00:02.882763
auction,332,0:00:03.010099,0:00:02.640758
auction,333,0:00:02.995012,0:00:02.640427
auction,334,0:00:02.703312,0:00:02.700458
auction,345,0:00:03.259822,0:00:02.880627
auction,346,0:00:01.592872,0:00:01.591956
auction,347,0:00:02.582391,0:00:02.580941
auction,348,0:00:02.967487,0:00:02.610522
auction,349,0:00:03.857317,0:00:03.420773
auction,360,0:00:02.675506,0:00:02.670725
auction,361,0:00:03.198545,0:00:02.851565
auction,362,0:00:03.534206,0:00:03.150920
auction,363,0:00:02.436893,0:00:02.433374
auction,364,0:00:02.828552,0:00:02.820789
auction,375,0:00:01.802295,0:00:01.801417
auction,376,0:00:03.386100,0:00:03.000364
auction,377,0:00:02.615717,0:00:02.612376
auction,378,0:00:02.734988,0:00:02.732585
auction,379,0:00:03.037061,0:00:02.370824
auction,390,0:00:02.764647,0:00:02.763172
auction,391,0:00:03.403370,0:00:03.000355
auction,392,0:00:02.967265,0:00:02.550656
auction,393,0:00:02.917090,0:00:02.913702
auction,394,0:00:02.194012,0:00:01.801088
auction,405,0:00:02.433786,0:00:02.071441
auction,406,0:00:02.729984,0:00:02.370961
auction,407,0:00:02.958481,0:00:02.954889
auction,408,0:00:02.024224,0:00:01.650497
auction,409,0:00:02.316971,0:00:02.315366
auction,420,0:00:02.587858,0:00:02.220501
auction,421,0:00:02.673525,0:00:02.670833
auction,422,0:00:02.403074,0:00:02.401321
auction,423,0:00:03.317322,0:00:02.911008
auction,424,0:00:03.315327,0:00:02.940436
auction,435,0:00:02.609187,0:00:02.250367
auction,436,0:00:02.900343,0:00:02.491405
auction,437,0:00:03.003754,0:00:03.000562
auction,438,0:00:01.943854,0:00:01.591734
auction,439,0:00:02.427080,0:00:02.071140
auction,450,0:00:02.693433,0:00:02.370621
auction,451,0:00:02.707677,0:00:02.310798
auction,452,0:00:02.487517,0:00:02.440321
auction,453,0:00:02.176139,0:00:02.132282
auction,454,0:00:02.381601,0:00:02.340639
auction,465,0:00:02.735367,0:00:02.734294
auction,466,0:00:03.063901,0:00:02.670371
auction,467,0:00:02.104542,0:00:02.100964
auction,468,0:00:02.314311,0:00:01.920807
auction,469,0:00:02.136541,0:00:02.132884
auction,480,0:00:02.675801,0:00:02.674922
auction,481,0:00:02.075408,0:00:02.073993
auction,482,0:00:02.828453,0:00:02.822754
auction,483,0:00:02.439321,0:00:02.432221
auction,484,0:00:03.022976,0:00:02.671483
auction,495,0:00:02.985181,0:00:02.581188
auction,496,0:00:03.062479,0:00:02.670683
auction,497,0:00:02.918511,0:00:02.916003
auction,498,0:00:01.976070,0:00:01.591913
auction,499,0:00:02.896028,0:00:02.891218
auction,510,0:00:02.864541,0:00:02.490941
auction,511,0:00:02.528598,0:00:02.524867
auction,512,0:00:03.220736,0:00:02.491178
auction,513,0:00:01.987011,0:00:01.984631
auction,514,0:00:01.915149,0:00:01.900143
auction,525,0:00:03.336430,0:00:02.940702
auction,526,0:00:02.972218,0:00:02.971069
auction,527,0:00:02.518262,0:00:02.160305
auction,528,0:00:02.857927,0:00:02.856717
auction,529,0:00:02.676664,0:00:02.675590
auction,540,0:00:02.463419,0:00:02.461040
auction,541,0:00:02.743358,0:00:02.400433
auction,542,0:00:02.917032,0:00:02.914640
auction,543,0:00:02.510208,0:00:02.101843
auction,544,0:00:01.581078,0:00:01.562331
auction,555,0:00:03.026040,0:00:02.671577
auction,556,0:00:03.134808,0:00:02.790743
auction,557,0:00:02.200181,0:00:02.194211
auction,558,0:00:02.211343,0:00:01.861111
auction,559,0:00:02.466864,0:00:02.460773
auction,570,0:00:01.955013,0:00:01.953685
auction,571,0:00:02.848540,0:00:02.190844
auction,572,0:00:02.885924,0:00:02.881080
auction,573,0:00:02.922520,0:00:02.919851
auction,574,0:00:02.526526,0:00:02.523164
auction,585,0:00:03.002564,0:00:03.001046
auction,586,0:00:02.439291,0:00:02.437138
auction,587,0:00:02.884088,0:00:02.882698
auction,588,0:00:02.862557,0:00:02.490503
auction,589,0:00:03.368692,0:00:03.001011
auction,600,0:00:03.158832,0:00:02.791029
auction,601,0:00:03.099423,0:00:02.731195
auction,602,0:00:01.954043,0:00:01.951287
auction,603,0:00:02.195986,0:00:02.192207
auction,604,0:00:03.307102,0:00:02.941473
auction,615,0:00:02.287993,0:00:02.285774
auction,616,0:00:03.009241,0:00:02.671145
auction,617,0:00:02.854166,0:00:02.852156
auction,618,0:00:02.836551,0:00:02.160480
auction,619,0:00:02.074318,0:00:02.071559
auction,630,0:00:01.871254,0:00:01.869674
auction,631,0:00:03.484782,0:00:02.820436
auction,632,0:00:02.973684,0:00:02.970694
auction,633,0:00:02.618152,0:00:02.615109
auction,634,0:00:02.913360,0:00:02.910926
auction,645,0:00:02.348797,0:00:01.980474
auction,646,0:00:02.866335,0:00:02.863654
auction,647,0:00:02.291251,0:00:02.289833
auction,648,0:00:01.772131,0:00:01.770701
auction,649,0:00:02.807612,0:00:02.460525
auction,660,0:00:02.553318,0:00:02.552161
auction,661,0:00:02.884195,0:00:02.882122
auction,662,0:00:02.373821,0:00:02.371758
auction,663,0:00:02.973587,0:00:02.971462
auction,664,0:00:02.084543,0:00:01.740508
auction,675,0:00:02.319615,0:00:02.317950
auction,676,0:00:03.213210,0:00:02.850420
auction,677,0:00:02.836094,0:00:02.460341
auction,678,0:00:02.921696,0:00:02.910921
auction,679,0:00:02.706653,0:00:02.703548
auction,690,0:00:02.370538,0:00:02.040307
auction,691,0:00:02.947567,0:00:02.943196
auction,692,0:00:02.552528,0:00:02.550267
auction,693,0:00:02.101492,0:00:02.100584
auction,694,0:00:01.892661,0:00:01.890607
auction,705,0:00:02.644987,0:00:02.641411
auction,706,0:00:03.003594,0:00:02.610874
auction,707,0:00:02.459299,0:00:02.071267
auction,708,0:00:02.557028,0:00:02.555403
auction,709,0:00:02.946667,0:00:02.522117
auction,720,0:00:03.387475,0:00:03.001421
auction,721,0:00:02.787662,0:00:02.401677
auction,722,0:00:03.224530,0:00:02.821151
auction,723,0:00:02.917134,0:00:02.914280
auction,724,0:00:03.212407,0:00:02.550940
auction,735,0:00:03.134737,0:00:02.760516
auction,736,0:00:02.854421,0:00:02.852086
auction,737,0:00:02.104132,0:00:02.100336
auction,738,0:00:02.108616,0:00:02.103663
auction,739,0:00:01.928313,0:00:01.924875
auction,750,0:00:02.823776,0:00:02.822642
auction,751,0:00:02.283809,0:00:02.282306
auction,752,0:00:02.878322,0:00:02.490695
auction,753,0:00:02.646152,0:00:02.281391
auction,754,0:00:02.528840,0:00:02.522660
auction,765,0:00:03.788273,0:00:03.120616
auction,766,0:00:02.913568,0:00:02.911652
auction,767,0:00:02.528930,0:00:02.528032
auction,768,0:00:03.110061,0:00:02.760999
auction,769,0:00:02.377816,0:00:02.371836
auction,780,0:00:02.944473,0:00:02.942924
auction,781,0:00:02.764023,0:00:02.762290
auction,782,0:00:03.024097,0:00:02.641430
auction,783,0:00:02.552098,0:00:02.550737
auction,784,0:00:02.375342,0:00:02.373220
auction,795,0:00:02.184720,0:00:01.801808
auction,796,0:00:02.138004,0:00:02.133787
auction,797,0:00:02.612287,0:00:02.610395
auction,798,0:00:02.867970,0:00:02.490379
auction,799,0:00:02.861776,0:00:02.852448
auction,810,0:00:03.366059,0:00:02.970642
auction,811,0:00:02.633746,0:00:02.190642
auction,812,0:00:02.321735,0:00:01.891700
auction,813,0:00:03.289876,0:00:02.580473
auction,814,0:00:02.880288,0:00:02.461856
auction,825,0:00:03.530128,0:00:03.060731
auction,826,0:00:02.980613,0:00:02.580829
auction,827,0:00:02.835697,0:00:02.821182
auction,828,0:00:02.861103,0:00:02.820910
auction,829,0:00:03.231713,0:00:02.851351
auction,840,0:00:02.881850,0:00:02.881107
auction,841,0:00:02.675064,0:00:02.674014
auction,842,0:00:03.517126,0:00:03.120642
auction,843,0:00:02.434539,0:00:02.433229
auction,844,0:00:02.694271,0:00:02.311112
auction,855,0:00:03.161792,0:00:02.761827
auction,856,0:00:01.899897,0:00:01.896692
auction,857,0:00:02.870569,0:00:02.491004
auction,858,0:00:03.125763,0:00:02.760342
auction,859,0:00:01.862171,0:00:01.861368
auction,870,0:00:02.522278,0:00:02.521096
auction,871,0:00:02.857821,0:00:02.855082
auction,872,0:00:02.645541,0:00:02.643682
auction,873,0:00:02.835286,0:00:02.831665
auction,874,0:00:01.953943,0:00:01.952816
auction,885,0:00:02.319834,0:00:02.311637
auction,886,0:00:02.946980,0:00:02.610707
