n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.314151,0:00:02.312107
auction,1,0:00:02.943100,0:00:02.941463
auction,2,0:00:03.095052,0:00:02.701873
auction,3,0:00:02.815935,0:00:02.400887
auction,4,0:00:03.047565,0:00:02.670606
auction,15,0:00:02.762961,0:00:02.762115
auction,16,0:00:02.642509,0:00:02.641644
auction,17,0:00:01.893822,0:00:01.892436
auction,18,0:00:02.732699,0:00:02.731956
auction,19,0:00:02.705106,0:00:02.702650
auction,30,0:00:02.855814,0:00:02.855031
auction,31,0:00:02.900343,0:00:02.492987
auction,32,0:00:02.645556,0:00:02.640635
auction,33,0:00:03.273781,0:00:02.910707
auction,34,0:00:02.252503,0:00:02.251283
auction,45,0:00:03.139426,0:00:02.730725
auction,46,0:00:02.374865,0:00:02.374027
auction,47,0:00:03.371178,0:00:02.940935
auction,48,0:00:02.224749,0:00:02.221818
auction,49,0:00:02.278658,0:00:01.862038
auction,60,0:00:01.994482,0:00:01.593263
auction,61,0:00:02.676890,0:00:02.674290
auction,62,0:00:01.533580,0:00:01.530661
auction,63,0:00:02.676690,0:00:02.252459
auction,64,0:00:03.098785,0:00:02.700363
auction,75,0:00:02.867831,0:00:02.460596
auction,76,0:00:02.380598,0:00:02.375955
auction,77,0:00:02.194734,0:00:02.192158
auction,78,0:00:02.525479,0:00:02.523222
auction,79,0:00:03.400752,0:00:02.641303
auction,90,0:00:02.094160,0:00:01.711846
auction,91,0:00:02.676080,0:00:02.671348
auction,92,0:00:03.655314,0:00:03.270556
auction,93,0:00:02.646741,0:00:02.643152
auction,94,0:00:02.792278,0:00:02.790380
auction,105,0:00:03.027773,0:00:02.670363
auction,106,0:00:02.386267,0:00:02.010832
auction,107,0:00:02.406886,0:00:02.403806
auction,108,0:00:02.324976,0:00:02.312318
auction,109,0:00:03.305574,0:00:02.882142
auction,120,0:00:02.747957,0:00:02.371742
auction,121,0:00:02.787193,0:00:02.340459
auction,122,0:00:01.866971,0:00:01.863524
auction,123,0:00:03.094388,0:00:02.670617
auction,124,0:00:02.977742,0:00:02.973324
auction,135,0:00:02.616856,0:00:02.612405
auction,136,0:00:03.171186,0:00:02.762649
auction,137,0:00:03.117464,0:00:02.732509
auction,138,0:00:02.946773,0:00:02.941226
auction,139,0:00:01.626132,0:00:01.621477
auction,150,0:00:02.796447,0:00:02.791218
auction,151,0:00:02.375092,0:00:01.951631
auction,152,0:00:02.849018,0:00:02.430675
auction,153,0:00:02.534703,0:00:02.130564
