n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.311968,0:00:02.310890
auction,1,0:00:03.301013,0:00:02.550646
auction,2,0:00:03.849194,0:00:04.985443
auction,3,0:00:02.832669,0:00:02.400690
auction,4,0:00:03.910953,0:00:03.450572
auction,15,0:00:03.125931,0:00:02.460344
auction,16,0:00:02.853586,0:00:02.160445
auction,17,0:00:02.133493,0:00:02.131805
auction,18,0:00:03.724156,0:00:03.030404
auction,19,0:00:02.828561,0:00:02.100340
auction,30,0:00:03.538768,0:00:03.150845
auction,31,0:00:02.409831,0:00:02.407981
auction,32,0:00:03.437085,0:00:03.090293
auction,33,0:00:03.420528,0:00:02.701152
auction,34,0:00:03.112998,0:00:02.400715
auction,45,0:00:03.401167,0:00:02.670831
auction,46,0:00:03.649147,0:00:02.910667
auction,47,0:00:03.253782,0:00:02.760720
auction,48,0:00:01.836110,0:00:01.830693
auction,49,0:00:02.625156,0:00:02.220804
auction,60,0:00:02.890528,0:00:02.431419
auction,61,0:00:03.037217,0:00:02.342467
auction,62,0:00:02.444555,0:00:02.040340
auction,63,0:00:03.617352,0:00:02.910611
auction,64,0:00:03.602144,0:00:03.180653
auction,75,0:00:02.747177,0:00:02.041885
auction,76,0:00:02.490971,0:00:02.100405
auction,77,0:00:03.192381,0:00:02.820578
auction,78,0:00:02.485566,0:00:02.101293
auction,79,0:00:03.409535,0:00:02.970568
auction,90,0:00:01.504687,0:00:01.501024
auction,91,0:00:02.500674,0:00:02.130607
auction,92,0:00:02.949167,0:00:02.280384
auction,93,0:00:02.914027,0:00:02.520955
auction,94,0:00:01.921165,0:00:01.531235
auction,105,0:00:02.415492,0:00:02.071160
auction,106,0:00:01.695719,0:00:01.689926
auction,107,0:00:03.151509,0:00:02.430651
auction,108,0:00:02.222392,0:00:01.830397
auction,109,0:00:02.282197,0:00:02.281201
auction,120,0:00:02.786449,0:00:02.400988
auction,121,0:00:02.315023,0:00:02.311471
auction,122,0:00:01.974041,0:00:01.622492
auction,123,0:00:02.931586,0:00:02.520566
auction,124,0:00:02.684368,0:00:02.310874
auction,135,0:00:03.076403,0:00:07.683149
auction,136,0:00:03.410290,0:00:02.430554
auction,137,0:00:03.344264,0:00:02.611256
auction,138,0:00:03.036848,0:00:02.581049
auction,139,0:00:03.358249,0:00:02.311638
auction,150,0:00:02.965966,0:00:02.550532
auction,151,0:00:03.477888,0:00:02.430637
auction,152,0:00:02.116453,0:00:02.101119
auction,153,0:00:02.684984,0:00:02.011323
auction,154,0:00:02.959979,0:00:02.550641
auction,165,0:00:03.257526,0:00:02.580681
auction,166,0:00:03.134220,0:00:02.400382
auction,167,0:00:03.296421,0:00:02.880677
auction,168,0:00:03.239980,0:00:02.520546
auction,169,0:00:03.139062,0:00:02.430453
auction,180,0:00:02.252579,0:00:02.250658
auction,181,0:00:03.481771,0:00:03.121152
auction,182,0:00:02.163614,0:00:01.801392
auction,183,0:00:02.402863,0:00:02.040303
auction,184,0:00:02.358658,0:00:02.011126
auction,195,0:00:03.323260,0:00:02.880801
auction,196,0:00:03.110552,0:00:02.640754
auction,197,0:00:03.238788,0:00:02.790616
auction,198,0:00:03.662062,0:00:02.910398
auction,199,0:00:02.641043,0:00:01.920436
auction,210,0:00:02.756128,0:00:02.310460
auction,211,0:00:03.323420,0:00:02.610468
auction,212,0:00:02.722266,0:00:02.341088
auction,213,0:00:03.514479,0:00:02.761056
auction,214,0:00:01.891989,0:00:01.500541
auction,225,0:00:01.807438,0:00:01.804664
auction,226,0:00:03.779420,0:00:03.361167
auction,227,0:00:01.954352,0:00:01.952829
auction,228,0:00:03.302592,0:00:02.940803
auction,229,0:00:03.708779,0:00:03.030646
auction,240,0:00:03.156289,0:00:02.401881
auction,241,0:00:03.609287,0:00:02.910376
auction,242,0:00:03.350313,0:00:02.940327
auction,243,0:00:03.790544,0:00:04.921121
auction,244,0:00:02.835738,0:00:02.160420
auction,255,0:00:03.349445,0:00:02.580751
auction,256,0:00:02.552811,0:00:02.160334
auction,257,0:00:03.058672,0:00:04.801518
auction,258,0:00:02.909102,0:00:02.220569
auction,259,0:00:03.319426,0:00:02.550559
auction,270,0:00:02.116087,0:00:01.740783
auction,271,0:00:03.508747,0:00:02.790796
auction,272,0:00:02.199004,0:00:01.800732
auction,273,0:00:03.523429,0:00:02.821415
auction,274,0:00:01.747328,0:00:01.744766
auction,285,0:00:02.978459,0:00:02.610363
auction,286,0:00:02.225959,0:00:02.225088
auction,287,0:00:02.230660,0:00:01.590835
auction,288,0:00:02.372909,0:00:02.371324
auction,289,0:00:02.713744,0:00:02.341276
auction,300,0:00:02.290955,0:00:01.921373
auction,301,0:00:02.974838,0:00:02.251622
auction,302,0:00:02.490128,0:00:02.133748
auction,303,0:00:02.408929,0:00:02.403600
auction,304,0:00:03.111396,0:00:02.430565
auction,315,0:00:02.246015,0:00:01.861333
auction,316,0:00:02.103500,0:00:01.711831
auction,317,0:00:02.841323,0:00:02.160630
auction,318,0:00:02.590438,0:00:01.860535
auction,319,0:00:03.413109,0:00:03.000765
auction,330,0:00:03.025460,0:00:02.340567
auction,331,0:00:01.565370,0:00:01.563697
auction,332,0:00:02.467821,0:00:01.800996
auction,333,0:00:03.167978,0:00:02.160609
auction,334,0:00:02.826962,0:00:02.460346
auction,345,0:00:02.862456,0:00:02.490638
auction,346,0:00:02.284760,0:00:02.280505
auction,347,0:00:03.714706,0:00:03.300549
auction,348,0:00:02.314827,0:00:02.312570
auction,349,0:00:03.322879,0:00:02.910586
auction,360,0:00:02.748180,0:00:02.400872
auction,361,0:00:03.223064,0:00:02.820551
auction,362,0:00:01.805591,0:00:01.802353
auction,363,0:00:02.106397,0:00:02.102812
auction,364,0:00:02.075506,0:00:02.070612
auction,375,0:00:03.074479,0:00:02.700349
auction,376,0:00:02.403380,0:00:02.400845
auction,377,0:00:03.215765,0:00:02.520342
auction,378,0:00:03.494923,0:00:02.730686
auction,379,0:00:03.226260,0:00:05.044798
auction,390,0:00:02.195062,0:00:01.830472
auction,391,0:00:02.195850,0:00:02.193470
auction,392,0:00:03.146247,0:00:02.461285
auction,393,0:00:02.718971,0:00:02.341443
auction,394,0:00:03.176839,0:00:02.520864
auction,405,0:00:04.142527,0:00:05.460359
auction,406,0:00:02.973746,0:00:02.552023
auction,407,0:00:03.351212,0:00:02.670320
auction,408,0:00:02.540344,0:00:02.161727
auction,409,0:00:03.303068,0:00:02.910681
auction,420,0:00:03.015751,0:00:02.340429
auction,421,0:00:03.362054,0:00:02.342114
auction,422,0:00:03.587310,0:00:02.581477
auction,423,0:00:02.304547,0:00:01.922946
auction,424,0:00:02.938739,0:00:02.460557
auction,435,0:00:02.489312,0:00:02.101447
auction,436,0:00:03.088426,0:00:05.192121
auction,437,0:00:03.550195,0:00:02.460728
auction,438,0:00:03.950217,0:00:03.210504
auction,439,0:00:02.182251,0:00:01.802034
auction,450,0:00:03.099710,0:00:02.730552
auction,451,0:00:03.044529,0:00:02.341812
auction,452,0:00:02.724688,0:00:02.311184
auction,453,0:00:02.867344,0:00:01.770340
auction,454,0:00:02.878413,0:00:02.101354
auction,465,0:00:02.260727,0:00:01.921749
auction,466,0:00:01.712196,0:00:01.711136
auction,467,0:00:02.568403,0:00:02.160371
auction,468,0:00:03.565305,0:00:03.120869
auction,469,0:00:03.080286,0:00:02.040977
auction,480,0:00:02.849871,0:00:02.430328
auction,481,0:00:03.073478,0:00:04.652411
auction,482,0:00:02.405588,0:00:02.403874
auction,483,0:00:03.408815,0:00:02.671124
auction,484,0:00:02.875778,0:00:02.490485
auction,495,0:00:01.872237,0:00:01.501101
auction,496,0:00:02.398689,0:00:01.980616
auction,497,0:00:02.758222,0:00:02.010543
auction,498,0:00:03.543657,0:00:03.090479
auction,499,0:00:03.444922,0:00:02.430570
auction,510,0:00:03.178947,0:00:02.460888
auction,511,0:00:02.521702,0:00:02.102330
auction,512,0:00:03.101275,0:00:02.670495
auction,513,0:00:04.010515,0:00:05.220891
auction,514,0:00:03.137805,0:00:02.761565
auction,525,0:00:02.915928,0:00:02.220845
auction,526,0:00:02.315421,0:00:02.312988
auction,527,0:00:01.915723,0:00:01.560340
auction,528,0:00:02.815372,0:00:02.400415
auction,529,0:00:03.403094,0:00:03.000581
auction,540,0:00:02.875532,0:00:02.460635
auction,541,0:00:03.011357,0:00:02.341521
auction,542,0:00:03.462352,0:00:02.460615
auction,543,0:00:03.790436,0:00:04.981012
auction,544,0:00:02.657605,0:00:02.281679
auction,555,0:00:03.323139,0:00:02.910556
auction,556,0:00:02.710511,0:00:02.370357
auction,557,0:00:03.250310,0:00:02.580797
auction,558,0:00:02.549537,0:00:02.190811
auction,559,0:00:01.786387,0:00:01.776134
auction,570,0:00:03.681831,0:00:02.970391
auction,571,0:00:03.054536,0:00:02.310566
auction,572,0:00:02.856589,0:00:02.460428
