n_type,request_id,completion_time,total_processing_time
auction,0,0:00:01.510791,0:00:01.501162
auction,1,0:00:02.318171,0:00:02.314015
auction,2,0:00:02.628294,0:00:02.614216
auction,3,0:00:01.946168,0:00:01.561783
auction,4,0:00:03.376957,0:00:03.030379
auction,15,0:00:02.766545,0:00:02.765719
auction,16,0:00:02.101713,0:00:02.101101
auction,17,0:00:02.918418,0:00:02.917350
auction,18,0:00:02.287581,0:00:02.285240
auction,19,0:00:02.675481,0:00:02.673183
auction,30,0:00:01.873693,0:00:01.871997
auction,31,0:00:02.113317,0:00:02.111531
auction,32,0:00:02.952442,0:00:02.949442
auction,33,0:00:03.032012,0:00:02.640662
auction,34,0:00:02.853264,0:00:02.850893
auction,45,0:00:02.647252,0:00:02.640947
auction,46,0:00:02.314285,0:00:02.310557
auction,47,0:00:02.376169,0:00:02.371795
auction,48,0:00:01.686504,0:00:01.683091
auction,49,0:00:01.954753,0:00:01.950829
auction,60,0:00:02.318478,0:00:02.316266
auction,61,0:00:02.071529,0:00:02.070472
auction,62,0:00:02.475362,0:00:02.462109
auction,63,0:00:02.008892,0:00:01.650635
auction,64,0:00:02.418572,0:00:02.403309
auction,75,0:00:02.857415,0:00:02.856619
auction,76,0:00:02.972857,0:00:02.971895
auction,77,0:00:02.725161,0:00:02.401201
auction,78,0:00:02.644655,0:00:02.641283
auction,79,0:00:03.219163,0:00:02.820366
auction,90,0:00:02.442469,0:00:02.440167
auction,91,0:00:02.043045,0:00:02.041657
auction,92,0:00:02.739777,0:00:02.738777
auction,93,0:00:02.979345,0:00:02.973175
auction,94,0:00:01.988288,0:00:01.983184
auction,105,0:00:01.745220,0:00:01.744078
auction,106,0:00:01.717011,0:00:01.716028
auction,107,0:00:01.833530,0:00:01.832746
auction,108,0:00:02.281546,0:00:02.280592
auction,109,0:00:02.381549,0:00:02.041653
auction,120,0:00:02.585986,0:00:02.583499
auction,121,0:00:01.715236,0:00:01.712528
auction,122,0:00:02.764057,0:00:02.762218
auction,123,0:00:01.882036,0:00:01.531046
auction,124,0:00:02.854742,0:00:02.851293
auction,135,0:00:01.985569,0:00:01.984913
auction,136,0:00:02.497861,0:00:02.497334
auction,137,0:00:01.532040,0:00:01.530984
auction,138,0:00:02.587661,0:00:02.584407
auction,139,0:00:02.195395,0:00:02.192914
auction,150,0:00:02.500004,0:00:02.497217
auction,151,0:00:02.647717,0:00:02.646466
auction,152,0:00:02.499474,0:00:02.497466
auction,153,0:00:02.437126,0:00:02.435994
auction,154,0:00:02.813846,0:00:02.430575
auction,165,0:00:01.937558,0:00:01.590791
auction,166,0:00:01.506483,0:00:01.502927
auction,167,0:00:02.673577,0:00:02.672174
auction,168,0:00:02.557401,0:00:02.556010
auction,169,0:00:02.851975,0:00:02.851348
auction,180,0:00:02.134541,0:00:02.133356
auction,181,0:00:02.647921,0:00:02.642826
auction,182,0:00:02.078410,0:00:02.071668
auction,183,0:00:02.009823,0:00:01.650493
auction,184,0:00:02.377488,0:00:02.370788
auction,195,0:00:02.923081,0:00:02.920849
auction,196,0:00:01.712053,0:00:01.710859
auction,197,0:00:02.405541,0:00:02.070679
auction,198,0:00:01.941319,0:00:01.563040
auction,199,0:00:02.389957,0:00:02.387964
auction,210,0:00:02.780291,0:00:02.778646
auction,211,0:00:02.197250,0:00:02.195497
auction,212,0:00:01.877498,0:00:01.875716
auction,213,0:00:02.657050,0:00:02.654810
auction,214,0:00:02.566736,0:00:02.564962
auction,225,0:00:02.610943,0:00:02.610365
auction,226,0:00:02.808589,0:00:02.807828
auction,227,0:00:01.792638,0:00:01.791589
auction,228,0:00:02.690648,0:00:02.340345
auction,229,0:00:02.945291,0:00:02.943375
auction,240,0:00:02.102890,0:00:02.102168
auction,241,0:00:01.773481,0:00:01.772878
auction,242,0:00:02.523301,0:00:04.260860
auction,243,0:00:03.057044,0:00:02.730531
auction,244,0:00:02.621174,0:00:02.250844
auction,255,0:00:02.434677,0:00:02.433988
auction,256,0:00:02.104088,0:00:02.103581
auction,257,0:00:02.643737,0:00:02.640335
auction,258,0:00:03.058412,0:00:02.700774
auction,259,0:00:02.267819,0:00:01.920414
auction,270,0:00:02.510233,0:00:02.160785
auction,271,0:00:02.465371,0:00:02.463903
auction,272,0:00:02.433191,0:00:02.431105
auction,273,0:00:02.971768,0:00:02.970979
auction,274,0:00:01.957968,0:00:01.956674
auction,285,0:00:02.131769,0:00:02.130933
auction,286,0:00:02.916349,0:00:02.914590
auction,287,0:00:01.658301,0:00:01.655127
auction,288,0:00:02.703934,0:00:02.701106
auction,289,0:00:02.615631,0:00:02.613169
