n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.313655,0:00:02.311073
auction,1,0:00:02.945996,0:00:02.943110
auction,2,0:00:03.115910,0:00:02.700365
auction,3,0:00:02.784983,0:00:02.400317
auction,4,0:00:03.843783,0:00:03.450433
auction,15,0:00:02.888437,0:00:02.887311
auction,16,0:00:02.826274,0:00:02.825664
auction,17,0:00:02.447218,0:00:02.439322
auction,18,0:00:02.855415,0:00:02.854582
auction,19,0:00:02.858730,0:00:02.854388
auction,30,0:00:02.941445,0:00:02.940752
auction,31,0:00:03.256388,0:00:02.881233
auction,32,0:00:02.824772,0:00:02.823167
auction,33,0:00:03.300703,0:00:02.940437
auction,34,0:00:02.646160,0:00:02.642134
auction,45,0:00:03.254798,0:00:02.880387
auction,46,0:00:02.650002,0:00:02.648734
auction,47,0:00:02.763747,0:00:02.761863
auction,48,0:00:02.679898,0:00:02.678389
auction,49,0:00:03.004815,0:00:03.001172
auction,60,0:00:02.560728,0:00:02.557758
auction,61,0:00:02.852943,0:00:02.850794
auction,62,0:00:02.883767,0:00:02.881276
auction,63,0:00:02.889255,0:00:02.520427
auction,64,0:00:03.258552,0:00:02.910429
auction,75,0:00:03.485337,0:00:03.060656
auction,76,0:00:03.392621,0:00:02.732025
auction,77,0:00:03.516446,0:00:02.822823
auction,78,0:00:02.976821,0:00:02.974963
auction,79,0:00:02.643532,0:00:02.641066
auction,90,0:00:02.852030,0:00:02.850589
auction,91,0:00:02.643406,0:00:02.250466
auction,92,0:00:02.464062,0:00:02.462354
auction,93,0:00:03.529329,0:00:03.090853
auction,94,0:00:02.645573,0:00:02.640613
auction,105,0:00:02.735368,0:00:02.733324
auction,106,0:00:03.374671,0:00:03.001091
auction,107,0:00:02.937672,0:00:02.551331
auction,108,0:00:02.445824,0:00:02.434482
auction,109,0:00:03.184017,0:00:02.820547
auction,120,0:00:03.142589,0:00:02.761351
auction,121,0:00:03.033301,0:00:02.670506
auction,122,0:00:02.714962,0:00:02.704455
auction,123,0:00:03.093586,0:00:02.702422
auction,124,0:00:03.237990,0:00:02.851272
auction,135,0:00:02.881901,0:00:02.880413
auction,136,0:00:02.672601,0:00:02.670882
auction,137,0:00:03.197081,0:00:02.851550
auction,138,0:00:02.892950,0:00:02.891687
auction,139,0:00:03.013374,0:00:03.005314
auction,150,0:00:03.624291,0:00:02.911701
auction,151,0:00:03.061337,0:00:02.671131
auction,152,0:00:03.112577,0:00:02.730463
auction,153,0:00:02.673583,0:00:02.672694
auction,154,0:00:02.779550,0:00:02.778398
auction,165,0:00:02.818918,0:00:02.400373
auction,166,0:00:03.711053,0:00:03.030362
auction,167,0:00:03.157742,0:00:02.791049
auction,168,0:00:03.398187,0:00:02.700935
auction,169,0:00:02.951151,0:00:02.943946
auction,180,0:00:02.769632,0:00:02.768687
auction,181,0:00:03.739796,0:00:06.120862
auction,182,0:00:02.857590,0:00:02.855000
auction,183,0:00:02.742771,0:00:02.740168
auction,184,0:00:03.367485,0:00:03.000390
auction,195,0:00:03.154659,0:00:02.820656
auction,196,0:00:02.978435,0:00:02.975777
auction,197,0:00:02.855057,0:00:02.851535
auction,198,0:00:03.072098,0:00:02.730345
auction,199,0:00:02.855567,0:00:02.850583
auction,210,0:00:02.942551,0:00:02.941665
auction,211,0:00:02.765410,0:00:02.763325
auction,212,0:00:02.710449,0:00:02.707648
auction,213,0:00:02.652012,0:00:02.646792
auction,214,0:00:03.047730,0:00:02.700970
auction,225,0:00:02.675850,0:00:02.674927
auction,226,0:00:02.960987,0:00:02.610716
auction,227,0:00:03.270795,0:00:02.940416
auction,228,0:00:02.771833,0:00:02.769094
auction,229,0:00:02.977606,0:00:02.973957
auction,240,0:00:03.184616,0:00:02.821161
auction,241,0:00:03.410127,0:00:02.730782
auction,242,0:00:02.433420,0:00:02.431216
auction,243,0:00:02.920816,0:00:02.918977
auction,244,0:00:02.977138,0:00:02.974354
auction,255,0:00:03.717358,0:00:03.001089
auction,256,0:00:02.682595,0:00:02.680544
auction,257,0:00:02.796607,0:00:02.790863
auction,258,0:00:03.009080,0:00:02.641361
auction,259,0:00:03.259016,0:00:02.854400
auction,270,0:00:02.495971,0:00:02.130341
auction,271,0:00:03.005516,0:00:03.003100
auction,272,0:00:03.282946,0:00:02.940842
auction,273,0:00:02.858106,0:00:04.921465
auction,274,0:00:02.844589,0:00:02.460770
auction,285,0:00:02.892713,0:00:02.891494
auction,286,0:00:02.956946,0:00:02.956228
auction,287,0:00:03.555489,0:00:03.120708
auction,288,0:00:02.223546,0:00:02.221671
auction,289,0:00:03.178291,0:00:02.790350
auction,300,0:00:03.025462,0:00:02.672156
auction,301,0:00:03.063508,0:00:02.670881
auction,302,0:00:02.888133,0:00:02.885226
auction,303,0:00:02.918352,0:00:02.915369
auction,304,0:00:02.907219,0:00:02.551062
auction,315,0:00:03.164533,0:00:02.820396
auction,316,0:00:03.427530,0:00:05.731683
auction,317,0:00:02.735866,0:00:02.732250
auction,318,0:00:02.769989,0:00:02.768197
auction,319,0:00:03.039791,0:00:02.670450
auction,330,0:00:03.033305,0:00:02.700503
auction,331,0:00:02.882351,0:00:02.880951
auction,332,0:00:03.152435,0:00:02.790659
