n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.321123,0:00:02.317580
auction,1,0:00:02.950894,0:00:02.944849
auction,2,0:00:03.064939,0:00:02.701003
auction,3,0:00:02.737635,0:00:02.401007
auction,4,0:00:03.865443,0:00:03.450637
auction,15,0:00:02.770257,0:00:02.769449
auction,16,0:00:02.653966,0:00:02.652961
auction,17,0:00:01.904857,0:00:01.903449
auction,18,0:00:02.740881,0:00:02.738661
auction,19,0:00:02.711188,0:00:02.708483
auction,30,0:00:02.856410,0:00:02.853683
auction,31,0:00:03.097813,0:00:02.760396
auction,32,0:00:02.644282,0:00:02.643360
auction,33,0:00:03.245410,0:00:02.910315
auction,34,0:00:02.256505,0:00:02.254714
auction,45,0:00:03.082941,0:00:02.760363
auction,46,0:00:02.373699,0:00:02.372616
auction,47,0:00:03.624161,0:00:02.940896
auction,48,0:00:02.223600,0:00:02.220846
auction,49,0:00:03.790181,0:00:03.120735
auction,60,0:00:02.918636,0:00:02.915076
auction,61,0:00:02.677477,0:00:02.671415
auction,62,0:00:01.537116,0:00:01.530326
auction,63,0:00:03.572713,0:00:03.181331
auction,64,0:00:03.361908,0:00:03.001113
auction,75,0:00:02.744767,0:00:02.430931
auction,76,0:00:02.576251,0:00:02.220876
auction,77,0:00:03.383504,0:00:03.000616
auction,78,0:00:02.877065,0:00:02.521265
auction,79,0:00:04.152260,0:00:03.420619
auction,90,0:00:02.341969,0:00:01.981240
auction,91,0:00:02.415755,0:00:02.410778
auction,92,0:00:03.035115,0:00:02.701887
auction,93,0:00:02.801981,0:00:02.798747
auction,94,0:00:03.306751,0:00:02.971142
auction,105,0:00:02.283452,0:00:01.950844
auction,106,0:00:02.014606,0:00:02.013480
auction,107,0:00:03.193291,0:00:02.820450
auction,108,0:00:03.054806,0:00:02.670314
auction,109,0:00:03.233018,0:00:02.880813
auction,120,0:00:02.196365,0:00:01.860905
auction,121,0:00:02.403720,0:00:02.400928
auction,122,0:00:02.824895,0:00:02.400555
auction,123,0:00:03.025713,0:00:02.671214
auction,124,0:00:02.672566,0:00:02.671582
auction,135,0:00:02.694428,0:00:02.340816
auction,136,0:00:03.090633,0:00:02.760976
auction,137,0:00:03.383446,0:00:03.031412
auction,138,0:00:02.261007,0:00:02.257728
auction,139,0:00:02.996502,0:00:02.610807
auction,150,0:00:02.998785,0:00:02.671226
auction,151,0:00:02.919367,0:00:02.580835
auction,152,0:00:02.644820,0:00:02.642502
auction,153,0:00:02.288301,0:00:02.283414
auction,154,0:00:02.136451,0:00:01.800864
auction,165,0:00:02.861016,0:00:02.851367
auction,166,0:00:03.976454,0:00:03.630441
auction,167,0:00:02.379669,0:00:02.370525
auction,168,0:00:02.081660,0:00:01.741991
auction,169,0:00:02.562530,0:00:02.220314
auction,180,0:00:02.996533,0:00:02.671192
auction,181,0:00:02.320458,0:00:02.318172
auction,182,0:00:02.347516,0:00:02.344907
auction,183,0:00:03.546701,0:00:03.150757
auction,184,0:00:02.684907,0:00:02.340479
auction,195,0:00:02.223269,0:00:02.222191
auction,196,0:00:02.982636,0:00:02.980826
auction,197,0:00:03.087148,0:00:02.760474
auction,198,0:00:02.827967,0:00:02.826083
auction,199,0:00:02.916572,0:00:02.580572
auction,210,0:00:03.408277,0:00:08.912810
auction,211,0:00:02.708026,0:00:02.704404
auction,212,0:00:02.957443,0:00:02.611619
auction,213,0:00:02.618786,0:00:02.613606
auction,214,0:00:02.345313,0:00:02.343167
auction,225,0:00:02.767439,0:00:02.766522
auction,226,0:00:02.814837,0:00:02.460831
auction,227,0:00:02.501624,0:00:02.491248
auction,228,0:00:02.744037,0:00:02.735694
auction,229,0:00:04.132277,0:00:03.750652
auction,240,0:00:02.968260,0:00:02.610314
auction,241,0:00:03.171011,0:00:02.850529
auction,242,0:00:03.068526,0:00:02.730458
auction,243,0:00:03.474965,0:00:02.821035
auction,244,0:00:02.737519,0:00:02.731657
auction,255,0:00:02.620766,0:00:02.281540
auction,256,0:00:03.081053,0:00:02.730651
auction,257,0:00:03.547163,0:00:06.212453
auction,258,0:00:02.864795,0:00:02.862377
auction,259,0:00:03.270230,0:00:02.910761
auction,270,0:00:02.740873,0:00:02.740174
auction,271,0:00:02.872513,0:00:02.520293
auction,272,0:00:01.892275,0:00:01.891605
auction,273,0:00:02.829647,0:00:02.820649
auction,274,0:00:03.706720,0:00:03.060559
auction,285,0:00:02.643679,0:00:02.642908
auction,286,0:00:02.999329,0:00:02.640405
auction,287,0:00:03.419017,0:00:03.060330
auction,288,0:00:02.801522,0:00:02.798679
auction,289,0:00:02.528313,0:00:02.523177
auction,300,0:00:02.823142,0:00:02.822521
auction,301,0:00:02.611929,0:00:02.610562
auction,302,0:00:03.542660,0:00:02.880814
auction,303,0:00:02.384860,0:00:02.372001
auction,304,0:00:01.961956,0:00:01.955386
auction,315,0:00:02.435786,0:00:02.433269
auction,316,0:00:02.979877,0:00:02.610457
